,Unnamed: 0.1,Unnamed: 0,Subject,Course Title,Description,Institute,Provider,Instructor,Language,Rating,Course_Link
128,129,129.0,Music,崑曲之美,      An English version has been launched in 2016 on Coursera  Link  https www coursera org learn kunqu opera      1     2     3     4        1   15 1   2   8 ,The Chinese University of Hong Kong,Coursera,Hsien-yung Kenneth Pai and Wei Hua,Chinese,4.9,https://www.classcentral.com/course/kunqu-652
150,153,153.0,Statistics & Probability,Structural Equation Model and its Applications | 结构方程模型及其应用 (普通话), LISREL LISREL t   LISREL ,The Chinese University of Hong Kong,Coursera,Kit Tai Hau,Chinese,4.8,https://www.classcentral.com/course/jiegou-fangcheng-moxing-696
153,156,156.0,Chinese History,中國古代歷史與人物：秦始皇（Qin Shi Huang),    ,National Taiwan University,Coursera,呂世浩 Shih-Hao Lu,Chinese,5.0,https://www.classcentral.com/course/qin-shi-huang-702
300,303,303.0,Machine Learning,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,Machine learning is the study that allows computers to adaptively improve their performance with experience accumulated from the data observed  Our two sister courses teach the most fundamental algorithmic  theoretical and practical tools that any user of machine learning needs to know  This first course of the two would focus more on mathematical tools  and the other course would focus more on algorithmic tools   ,National Taiwan University,Coursera,Hsuan-Tien Lin,Chinese,4.9,https://www.classcentral.com/course/ntumlone-mathematicalfoundations-1326
375,38,38.0,Artificial Intelligence,人工智慧：機器學習與理論基礎 (Artificial Intelligence - Learning & Theory),  1990  VC            1950   2016                  ,National Taiwan University,Coursera,"于天立(Tian-Li,Yu)",Chinese,4.6,https://www.classcentral.com/course/ai2-11519
472,136,136.0,Strategic Management,"服務模式的體驗、設計與創新：從痛點到賣點 (Experience, Design, and Innovation of Service Models: from Pain Points to Selling Points)",     ,National Taiwan University,Coursera,"孔令傑, 郭佳瑋, 余峻瑜 and 陳冠學",Chinese,4.8,https://www.classcentral.com/course/service-models-11712
494,160,160.0,Astronomy,走进天文学,           ,Nanjing University,Coursera,"谢懿, 徐晓杰 and 姜冰",Chinese,4.8,https://www.classcentral.com/course/intro-astronomy-nju-11757
561,227,227.0,Political Science,Xi Jinping's Thought on Socialism with Chinese Characteristics for a New era|习近平新时代中国特色社会主义思想,From the history of people centered new development concepts  this course systematically narrates five people centered development concepts  The course includes six parts  people centered new development concepts  innovative development  coordinated development  green development  open development and sharing development  the course  12 class hours  further interprets people centered new development concepts  especially five major development concepts The course suits senior undergraduates  master students and doctoral students  Party and government leaders and cadres at all levels  as well as other interested people Assessment  Apart from video learning  the total score of test questions set for each part is the final score  Pass  60 points  Distinction  85 points ,Tsinghua University,edX,Angang Hu,Chinese,2.7,https://www.classcentral.com/course/edx-xi-jinping-s-thought-on-socialism-with-chinese-characteristics-for-a-new-era-11878
602,268,268.0,Language Learning,Learning Chinese : Start From Scratch (零到一學中文),This is a six week introductory course in Mandarin Chinese conversation  The course will be taught completely in Mandarin  however students are not expected to have any experience learning Chinese   This course s main objective is to study practical conversation  By watching videos showing various kinds of situations  learners will recognize and understand vocabulary  pair everyday words together with grammar to form short phrases  and learn the correct way to express words used in day to day life ,National Taiwan University,Coursera,竺靜華,Chinese,4.5,https://www.classcentral.com/course/learn-chinese-mandarin-11931
653,319,319.0,Mandarin, Mandarin Chinese for Intermediate Learners: Part 1, Mandarin Chinese 1  Chinese for Intermediate Learners  is the first course of the MOOC specialization   Learn Intermediate Mandarin Chinese  created by Shanghai Jiao Tong University ,Shanghai Jiao Tong University,Coursera,"An Na, Wang Jun and 叶军",Chinese,4.7,https://www.classcentral.com/course/mandarin-chinese-intermediate-learners-1-12010
766,432,432.0,Philosophy,莊子─人情 (Zhuangzi─Between People), ,National Taiwan University,Coursera,蔡璧名,Chinese,5.0,https://www.classcentral.com/course/zhuangzi-renqing-12169
802,468,468.0,Language Learning,Chinese for HSK 5,HSK HSK HKS  HSK 12   HSK 8 10   HSK HSK 4 10   60 ,Peking University,Coursera,"Liu Chaoying, Jin Shunian, 蔡云凌 and Wang Yu",Chinese,4.8,https://www.classcentral.com/course/chinese-for-hsk5-12224
876,542,542.0,Business,商管研究中的賽局分析（二）：資訊經濟學, ,National Taiwan University,Coursera,孔令傑,Chinese,-1.0,https://www.classcentral.com/course/shang-guan-zixun-jingji-xue-12338
957,623,623.0,Mandarin,Mandarin Chinese for Intermediate Learners: Part 2, Mandarin Chinese 2  Chinese for Intermediate Learners  is the second course of the MOOC specialization   Learn Intermediate Mandarin Chinese  created by Shanghai Jiao Tong University ,Shanghai Jiao Tong University,Coursera,"An Na, Wang Jun and 叶军",Chinese,4.0,https://www.classcentral.com/course/mandarin-chinese-intermediate-learners-2-12487
968,634,634.0,Language Learning,是誰在說話 -- 可愛的臺灣。（Intermediate Chinese）,This course uses four scenic locations in Taiwan as the main topics  Besides emphasis on teaching vocabulary  grammar  and text comprehension  each lesson s text will feature a non human protagonist  retelling the past and present of each location  Starting from the north and heading south  each lesson combines the historical  cultural  and modern faces of these landmarks  Using fun dialogue between characters we will string together different stories about the lovely Taiwan one by one  Students interested in Chinese will be able to not only boost their language skills  but also learn about Taiwan s beauty and cultural life     ,National Taiwan University,Coursera,竺靜華,Chinese,4.8,https://www.classcentral.com/course/learn-intermediate-chinese-mandarin-12501
2563,1576,,CAD,Engineering Drawing | 工程制图, Engineering Drawing  is a fundamental course of engineering technology  including two parts  basic theories and advanced practices  The first part will introduce the theory of projection and its application on drawings  focusing on training students with basic knowledge of engineering  The second part of the practice sessions is to give students general experience in producing a variety of mechanical drawings  Based on the theory of projection  this course is to teach basic design representations such as 2D views  axonometric drawing of freehand and 3D solid modeling etc  It integrates various drawing skills such as freehand sketching  instrumental sketching and CAD modeling and design  The main objectives are to educate students with capabilities of engineering imaginations  and to train them to think with 3D images  to represent designs with 2D drawings  and to innovate with new shape constructions  This course also provides a prerequisite for further mechanical engineering courses such as machine design and manufacturing ,Tsinghua University,edX,"Taught by
Ling Tian",Chinese,-1.0,https://www.classcentral.com/course/engineering-drawinggong-cheng-zhi-tu-25378
2922,1935,,Data Visualization,Gephi 中文教程, Gephi   What you'll learn    Gephi   Gephi   Photoshop      Gephi    MOOC  udemy com  Gephi Gephi Gephi  Gephi CC BY NC 3 0   Gephi   digitip gmail com   ooof  ,-1,Udemy,"Taught by
Ooof liu",Chinese,4.7,https://www.classcentral.com/course/udemy-gephi-25770
8940,7961,,Japanese,背包客日語 - Backpacker's Japanese,    Learning Japanese for backpackers  What you'll learn      A      B      C     ,-1,Udemy,"Taught by
Ting-ting Chang",Chinese,4.5,https://www.classcentral.com/course/udemy-jp_backpackers-31887
9610,8633,,Google Cloud Platform (GCP),Business Transformation with Google Cloud 中文,     Google Cloud   Google           IC    IT   Google  ,Google Cloud,Coursera,"Taught by
Google Cloud Training",Chinese,-1.0,https://www.classcentral.com/course/business-transformation-google-cloud-cn-32601
9821,8844,,Statistics & Probability,統計學一 Statistics 1, 1 2   What you'll learn                01   09         02   10         03   11         04   12         05   13         06   14         07   15         08   16                            ,-1,Udemy,"Taught by
Lee Bor-Jian",Chinese,4.6,https://www.classcentral.com/course/udemy-statistics-1-32871
10344,9367,,Literature,又見大觀：《紅樓夢》中的烏托邦 (The Red Chamber Dream (3): Daguan Garden), ,National Taiwan University,Coursera,"Taught by
歐麗娟",Chinese,-1.0,https://www.classcentral.com/course/the-red-chamber-dream-daguan-garden-33431
10345,9368,,Literature,深扣孔孟 (An Inquiry into Confucius and Mencius), ,National Taiwan University,Coursera,"Taught by
黃俊傑",Chinese,-1.0,https://www.classcentral.com/course/inquiry-into-confucius-and-mencius-33432
10565,9588,,Web Development,Chrome 網頁除錯功能大解密,   What you'll learn    Chrome   Chrome     Chrome   Chrome   Chrome   BUG  Chrome DevTools  ,-1,Udemy,"Taught by
卡斯伯 六角學院, 六角 學院, 廖洧杰 liao and 六角助教 六角學院",Chinese,4.8,https://www.classcentral.com/course/udemy-chrome-devtools-33688
10626,38,,Vue JS,Vue入门基础(vue js),Vue js JavaScript MVVM Angular js Vue js API Vue js   What you'll learn  vuejs  webpack  vue cli  vue vue vuejs vuejs Vue MVVM   Vuejs Vuejs   vuejs  todolist vuejs ,-1,Udemy,"Taught by
yz z",Chinese,4.5,https://www.classcentral.com/course/udemy-vue-base-33749
12267,1682,,Web Development,"(Ken Cen出品)建網百科全書-使用 HTML,CSS,JS, jQuery,php,mySQL 建立網站", eBay AirPods YouTube Tesla   What you'll learn   HTML CSS CSS3 Javascript jQuery Bootstrap Wordpress PHP mySQL   Ken Cen 10 HTML  HTML5  CSS  CSS3  JavaScript  jQuery  jQueryUI  Bootstrap  Wordpress  PHP  MySQL  etc 12 eBay YouTube AirPods Tesla Hi  my name is Ken Cen  In this course  we will learn 10 languages and tools including HTML  HTML5  CSS  CSS3  JavaScript  jQuery  jQueryUI  Bootstrap  Wordpress  PHP  MySQL  etc  We will start from scratch and build 12 website  including eBay  YouTube  AirPods  Tesla and other web pages  We will go through a very interesting and challenging journey  let's learn to build our own website from zero to professional together ,-1,Udemy,"Taught by
Ken Cen",Chinese,4.8,https://www.classcentral.com/course/udemy-ken-cens-35487
13409,2826,,Javascript,JavaScript 全攻略：克服 JS 的奇怪部分,  JavaScript      What you'll learn    JavaScript   JavaScript  IIFEs  JavaScript   JavaScript   JavaScript   JavaScript   JavaScript   ECMAScript 6  ES6 JavaScript   JavaScript   ES6 IIFEs call apply bind   jQuery Underscore JavaScript   JavaScript   JavaScript AngularJS NodeJS jQuery React Ember MongoDB JavaScript   JavaScript   'starter' 'finished' ,-1,Udemy,"Taught by
Anthony Alicea, GM Tang and 慕課 台灣",Chinese,4.7,https://www.classcentral.com/course/udemy-javascriptjs-36662
14535,3954,,Statistics & Probability,統計學二 Statistics 2 , 1 2 3 ANOVA 4 5   What you'll learn                              17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32                   ,-1,Udemy,"Taught by
Lee Bor-Jian",Chinese,4.6,https://www.classcentral.com/course/udemy-statistics-2-37840
