,Unnamed: 0.1,Unnamed: 0,Subject,Course Title,Description,Institute,Provider,Instructor,Language,Rating,Course_Link
54,54,54.0,Programming,Introduction à la programmation orientée objet (en Java),Ce cours introduit la programmation orient e objet  encapsulation  abstration  h ritage  polymorphisme  en l'illustrant en langage Java  Il pr suppose connues les bases de la programmation  variables  types  boucles  fonctions    Il est con u comme la suite du cours   Initiation   la programmation  en Java    Comme son pr d cesseur  ce cours s'appuie  sur de nombreux  l ments p dagogiques   vid os sous titr es  quizz dans et hors vid os  exercices  devoirs not s automatiquement  notes de cours ,École Polytechnique Fédérale de Lausanne,Coursera,Jamila Sam,French,4.8,https://www.classcentral.com/course/intropoojava-441
123,124,124.0,Java,Initiation à la programmation (en Java),Ce cours initie aux bases de la programmation en utilisant le langage Java   variables  boucles  fonctions    Il ne pr suppose pas de connaissance pr alable  Les aspects plus avanc s  programmation orient e objet  sont donn s dans un cours suivant   Introduction   la programmation orient e objet  en Java   Il s'appuie  sur de nombreux  l ments p dagogiques   vid os sous titr es  quizz dans et hors vid os  exercices  devoirs not s automatiquement  notes de cours ,École Polytechnique Fédérale de Lausanne,Coursera,"Jamila Sam, Vincent Lepetit and Jean-Cédric Chappelier",French,4.8,https://www.classcentral.com/course/initprogjava-643
124,125,125.0,C++,Initiation à la programmation (en C++),Ce cours initie aux bases de la programmation en utilisant le langage C    variables  boucles  fonctions    Il ne pr suppose pas de connaissance pr alable  Les aspects plus avanc s  programmation orient e objet  sont donn s dans un cours suivant   Introduction   la programmation orient e objet  en C   Il s'appuie  sur de nombreux  l ments p dagogiques   vid os sous titr es  quizz dans et hors vid os  exercices  devoirs not s automatiquement  notes de cours ,École Polytechnique Fédérale de Lausanne,Coursera,"Jamila Sam, Vincent Lepetit and Jean-Cédric Chappelier",French,4.8,https://www.classcentral.com/course/initprogcpp-644
133,134,134.0,Philosophy,Calvin - Histoire et réception d'une Réforme,Course in French with English subtitles    Ce cours introduit   la vie et   la pens e du r formateur Jean Calvin  1509 1564  ainsi qu  son influence sur le monde moderne et contemporain  La d marche propos e se veut critique  il ne s agit ni de canoniser ni de condamner Calvin  mais de comprendre sa pens e avec toute la distance requise et d en analyser les enjeux   Au cours de la premi re semaine  nous explorerons les principales  tapes de la vie de Calvin  Les semaines 2 et 3 seront consacr es   l tude de sa pens e th ologique et de son  thique  Enfin  lors des semaines 4 et 5  nous nous interrogerons sur la diffusion du calvinisme dans le monde et la pertinence actuelle de la pens e de Calvin     This course is an introduction to the life and thought of the reformer John Calvin  1509 1564  and to his influence on the modern and contemporary world  The approach we develop is critical   we intend neither to canonize nor to condemn Calvin or his thought  Our goal  rather  is to avoid any rash evaluation in order to understand his thought and analyze the issues at stake in it   During five weeks  we will explore together the life and work of the Reformer  During the first week  we will study the main aspects of Calvin s life  Weeks 2 and 3 will focus on his theology and his ethics  During the last two weeks  weeks 4 and 5  we will ponder how Calvinism became a worldwide phenomenon and ask ourselves what kind of relevance Calvin s thought may still have today ,University of Geneva,Coursera,"Christophe Chalamet, Michel Grandjean, François Dermange and Sarah Nicolet",French,4.8,https://www.classcentral.com/course/calvin-659
148,151,151.0,Foundations of Mathematics,Initiation à la théorie des distributions,Une fonction discontinue peut elle  tre solution d'une  quation diff rentielle  Comment d finir rigoureusement la masse de Dirac  une  fonction  d'int grale un  nulle partout sauf en un point  et ses d riv es  Peut on d finir une notion de  d riv e d'ordre fractionnaire   Cette initiation aux distributions r pond   ces questions   et   bien d'autres ,École Polytechnique,Coursera,François  Golse and Yvan Martel,French,4.8,https://www.classcentral.com/course/distributions-691
193,196,196.0,Mechanical Engineering,Analyse numérique pour ingénieurs,Ce cours contient les 7 premiers chapitres d'un cours donn  aux  tudiants bachelor de l'EPFL  Il est bas  sur le livre  Introduction   l'analyse num rique  J  Rappaz M  Picasso  Ed  PPUR  Des outils de base sont d crits dans les 5 premiers chapitres  Les deux derniers chapitres abordent la question de la r solution num rique d' quations diff rentielles  Plus pr cisement  nous allons  tudier les chapitres suivants du livre        Chapitre 1   interpolation  comment approcher une fonction par un polyn me      Chapitre 2   comment approcher des d riv es par des formules de diff rences finies      Chapitre 3   comment approcher des int grales par des formules de quadrature      Chapitres 4 5 6   comment r soudre des  grands  syst mes lin aires      Chapitre 8   comment r soudre des  quations et syst mes d quations nonlin aires      Chapitre 9   comment approcher la solution d une  quations diff rentielle  probl me   valeur initiale      Chapitre 10   comment approcher la solution d un probl me aux limites unidimensionnel par une m thode de diff rences finies   Un cours de deux heures est donc remplac  par des  video lectures  ainsi que les  quiz  correspondant  L'heure d'exercices est remplac e par un  exercice  o  vous devrez faire des exp riences num riques avec un programme matlab ou octave  et d montrer des r sultats th oriques  peer review  Un questionnaire a choix multiple aura lieu   la fin du cours  30  de la note   Il faut obtenir 60  de la note pour avoir le  Course Certificate   Pour les  tudiants EPFL  les heures de cours selon l'horaire is academia sont maintenues  Vous devez visionner les  video lectures  de la semaine et faire les  quiz  avant l'heure de cours  Lors de la premi re heure de cours  je r soudrai l'exercice th orique  cet exercice theorique sera propos  comme  peer review  pour les  tudiants externes  Une question du m me type pourrait  tre pos e lors de l'examen de juin  Lors de la deuxi me heure de cours  je r pondrai aux questions et je vous aiderai   faire l' exercice  si n cessaire   Le temps de travail estim  est le suivant  Il faut compter deux heures pour visualiser les  video lectures  et r pondre aux  quiz  Il faut compter une heure pour faire l' exercice  qui demande de compl ter un programme matlab  ou octave  et une heure pour faire l'exercice th orique  peer review  soit cinq heures en tout  Apr s ces cinq heures  vous devriez avoir acquis la mati re ,École Polytechnique Fédérale de Lausanne,Coursera,Marco Picasso,French,4.5,https://www.classcentral.com/course/analysenumerique-846
194,197,197.0,C++,Introduction à la programmation orientée objet (en C++),Ce cours introduit la programmation orient e objet  encapsulation  abstration  h ritage  polymorphisme  en l'illustrant en langage C  Il pr suppose connues les bases de la programmation  variables  types  boucles  fonctions    Il est con u comme la suite du cours   Initiation   la programmation  en C    Comme son pr d cesseur  ce cours s'appuie  sur de nombreux  l ments p dagogiques   vid os sous titr es  quizz dans et hors vid os  exercices  devoirs not s automatiquement  notes de cours ,École Polytechnique Fédérale de Lausanne,Coursera,"Vincent Lepetit, Jean-Cédric Chappelier and Jamila Sam",French,4.8,https://www.classcentral.com/course/intropoocpp-849
195,198,198.0,Statistics & Probability,Aléatoire : une introduction aux probabilités - Partie 1,Ce cours d'introduction aux probabilit s a la m me contenu que le cours de tronc commun de premi re ann e de l' cole polytechnique donn  par Sylvie M l ard   Le cours introduit graduellement la notion de variable al atoire et culmine avec la loi des grands nombres et le th or me de la limite centrale    Les notions math matiques n cessaires sont introduites au fil du cours et de nombreux exercices corrig s sont propos s   Ce cours propose aussi une introduction aux m thodes de simulations des variables al atoires comme la m thode de Monte Carlo  Des exp riences num riques interactives sont  galement mises   votre disposition pour vous permettre de visualiser diverses notions ,École Polytechnique,Coursera,Sylvie Méléard and Jean-René Chazottes,French,4.5,https://www.classcentral.com/course/probas1-852
277,280,280.0,Engineering,L'art des structures 1 : Câbles et arcs,L'art des structures propose une d couverte du fonctionnement des structures porteuses  telles que les b timents  les toitures ou les ponts  Ce cours pr sente les principes du dimensionnement et les structures en c bles et en arcs  Un deuxi me cours pr sente les structures en treillis  en poutres et en cadres   Apr s avoir suivi ce cours  vous serez capable d'identifier les structures en c ble  en arc et en arc et c ble  Vous pourrez d terminer les efforts dans les  l ments de structure principaux et proc der au choix de leurs dimensions en fonction du mat riau de construction choisi   Votre ma trise des constructions de statique graphique ainsi que de l'applet de calcul i Cremona vous permettra de comparer diverses solutions et de choisir la forme la plus appropri e pour un type de structure donn  De mani re g n rale  vous pourrez  en observant les structures autour de vous  reconna tre leur mode de fonctionnement  expliquer le choix de leurs dimensions et de leurs proportions ,École Polytechnique Fédérale de Lausanne,Coursera,Olivier Burdet and Aurelio Muttoni,French,4.9,https://www.classcentral.com/course/structures-1187
283,286,286.0,Electrical Engineering,Comprendre les Microcontroleurs,Ce cours donne les bases th oriques et pratiques n cessaires   une bonne compr hension et utilisation des microcontr leurs  De nombreux exemples seront abord s  Des exercices seront propos s  compatibles avec les cartes   microcontr leurs Arduino ou LaunchPad MSP430G ,École Polytechnique Fédérale de Lausanne,Coursera,Jean-Daniel Nicoud and Pierre-Yves Rochat,French,4.7,https://www.classcentral.com/course/microcontroleurs-1238
