,Unnamed: 0.1,Unnamed: 0,Subject,Course Title,Description,Institute,Provider,Instructor,Language,Rating,Course_Link
2913,1926,,Artificial Intelligence,Introduction to Artificial Intelligence (Indonesian Version),Natural Language Processing  Machine Learning  Computer Vision  Expert System  and Deep Learning  What you'll learn  understand AI implementation in real life  future development of AI and various fields of AIunderstand searching techniques  both uninformed and informed search  and also adversarial searchunderstand the use of Markov Chain Analysis for predictionunderstand the concept of learningunderstand the research area of NLP This course explains the introduction of Artificial Intelligence  including basic algorithms as an introduction to ArtificialIntelligencescience such as  Natural Language Processing  Machine Learning  Computer Vision  Expert System  and Deep Learning  At the end of the course  Students will understand AI implementation in real life  future development of AI and various fields of AI understand searching techniques  both uninformed and informed search  and also adversarial search  understand the use of Markov Chain Analysis for prediction  understand the concept of learning and understand the research area of NLP  Please note that the language used in this course is Indonesian  We are working to translate it into English ,-1,Udemy,"Taught by
Bina Nusantara University, Greater Nusantara, Rini Wongso and Novita Hanafiah",Indonesian,4.6,https://www.classcentral.com/course/udemy-introduction-to-artificial-intelligence-w-25760
15492,4912,,Flutter,Happy Flutter- Membuat Aplikasi Android dan iOS jadi Gampang,Membuat aplikasi flutter dengan android dan ios  What you'll learn  Pemula  Bagi yang belum mengenal tentang flutter dan yang ingin belajar flutter Kursus ini merupakan kursus Bagian I dari Happy Flutter  untuk bagian Ke 2 Bisa cek di Kursus Udacoding Lainnya yang bertema Happy Flutter   Sport News Flutter Video ini merupakan versi video dari buku Happy Flutter yang di buat oleh Team Udaocoding  Kursus ini sangat berguna bagi anda yang ingin belajar flutter dari dasar   Materi yang dibahas pada kursus ini adalah mulai dari pengenalan tentang flutter  movie apps penggunaan gambar pada flutter hingga pembuatan apk aplikasi,-1,Udemy,"Taught by
Udacoding Official",Indonesian,5.0,https://www.classcentral.com/course/udemy-happy-flutter-membuat-aplikasi-android-dan--38806
21966,1772,,Microservices,Belajar Microservices untuk Pemula,Belajar Microservices   1 Intro Belajar Microservices   2 Arsitektur Monolith Belajar Microservices   3 Arsitektur Microservices Belajar Microservices   4 Database per Service Belajar Microservices   5 Shared Database Belajar Microservices   6 NoSQL Belajar Microservices   7 Remote Procedure Invocation Belajar Microservices   8 Messaging Belajar Microservices   9 Type of Microservices Belajar Microservices   10 Service Orchestration Belajar Microservices   11 Service Choreography Belajar Microservices   12 API Gateway Belajar Microservices   13 Authentication dan Authorization Belajar Microservices   14 Backend for Frontend Belajar Microservices   15 CQRS  Command Query Responsibility Segregation Belajar Microservices   16 Server Side Discovery Belajar Microservices   17 Client Side Discovery Belajar Microservices   18 Service Registry Belajar Microservices   19 Centralized Configuration ,-1,YouTube,"Taught by
Programmer Zaman Now",Indonesian,-1.0,https://www.classcentral.com/course/youtube-belajar-microservices-untuk-pemula-53283
22380,2186,,Adobe Photoshop,Learn Photoshop Photo Editing,Belajar Dasar Manipulasi Foto agar Background dan Object bisa Menyatu  Photoshop Tutorial Indonesia Cara Edit Foto Dramatic Color Effect Photoshop   Photoshop Tutorial Indonesia Cara Edit Foto Baju Transparan  Clothless effect   Edit foto kekinian   Photoshop Tutorial Indonesia Cara Membuat Desain Poster Iklan dengan Photoshop   Photoshop Tutorial Indonesia DJ GOBERT ALL ARTIS NEVADA LIVE PUTRA JSM WEDUNG DEMAK PHOTOSHOP   Membuat efek Lukisan    WATER COLOR Efect   Tutorial Indonesia Cara Menghilangkan Jerawat 100  Work   Photoshop Tutorial Indonesia Tips   Trik Cara Menyeleksi   Menghapus detail Rambut di Photoshop   Photoshop Tutorial Indonesia cara buat PATTERN di photoshop   Photoshop Tutorial Indonesia Cara membuat efek GRIME ART dengan photoshop   Tutorial photoshop indonesia Cara Membuat Efek Lukisan Potrait Watercolor di Photoshop   Photoshop Tutorial Indonesia Cara membuat Efek Blur   Bokeh Photoshop   Photoshop Tutorial Indonesia cara membuat potrait wpap teknik low poly design   Tutorial photoshop bahasa indonesia Membuat Desain Typography Lettering dengan Efek Gradasi dan Balon   Photoshop Tutorial Indonesia Cara Mengedit Foto agar lebih Berwarna   Sunset Dramatic Color   Photoshop Tutorial Indonesia Cara Desain kaos Photoshop   Desain Kaos Distro keren foto Binatang   Photoshop Tutorial Indonesia Cara Desain Postingan Sosial Media dg Efek Sobekan Kertas   Photoshop Tutorial Indonesia Bedah Desain Froyonion Style   Photoshop Tutorial Indonesia   Lincung Mini Workshop Membuat Efek 3D dan Retro Desain Lettering Typography Photoshop   Photoshop Tutorial Indonesia Edit Foto Alone Effect   Dark Faded Dramatic Color   Photoshop Tutorial Indonesia Cara Desain Poster Bola Menarik EPS 1   Photoshop Tutorial Indonesia Cara Desain Typography Bunga Keren    Floral Typography Effect   Photoshop Tutorial Indonesia Tutorial Skin Retouching dengan mudah di Photoshop   Photoshop Tutorial Indonesia Cara Membuat Desain logo Retro   Hipster Photoshop   Photoshop Tutorial Indonesia Membuat Efek Monitor Rusak pada Foto  GLITCH EFFECT  dengan Photoshop   Photoshop Tutorial Indonesia Cara edit foto wajah keren dengan efek galaxy menggunakan photoshop   Tutorial photoshop indonesia Edit Foto Manipulasi Keren Kepala Terpotong potong   Photoshop Tutorial Indonesia Cara Ganti Background foto agar lebih Menarik   Photoshop Tutorial Indonesia How to design Head vector vexel  Potrait vector vexel    photoshop Tutorial indonesia Cara Membuat Animasi dengan Photoshop   Photoshop Tutorial Indonesia Cara Edit Foto Keren Explosion Abstract Art Manipulation   Photoshop Tutorial Indonesia Cara Membuat TEXT EFFECT 3D dengan TEXTUR TEMBOK Photoshop   Photoshop Tutorial Indonesia Cara Edit foto keren Skin Light Effect di Photoshop   Photoshop Tutorial Indonesia GuyonWaton Ora Masalah   cover   Garpet Oiy Menambah Cahaya Matahari Palsu pada Foto   Fake Sunlight Effect   Photoshop Tutorial Indonesia Cara Desain Pixel Stretch Effect dg Photoshop   Photoshop Tutorial Indonesia Membuat Efek Cahaya di Photoshop   Red   Blue Light Effect   Photoshop Tutorial Indonesia Cara membuat Desain Sketch Style Vector Vexel di photoshop    Photoshop Tutorial Indonesia Cara Desain Abstract Portrait Effect di Photoshop   Photoshop Tutorial Indonesia Cara Desain Kolase Double Exposure di Photoshop    Photoshop Tutorial Indonesia Cara Desain Poster Bola   Olahraga Menarik EPS 3   Photoshop Tutorial Indonesia Cara Edit Foto Comic Effect dengan Photoshop   Photoshop Tutorial Indonesia Edit Foto Kekinian   3D Digital Scrapbook Photoshop   Photoshop Tutorial Indonesia Cara Edit foto keren dengan teknik Duotone Photoshop   Photoshop Tutorial Indonesia Cara membuat text transparan dengan photoshop How to design Simple vector vexel   Tutorial photoshop bahasa indonesia Cara Edit Foto Seperti Poster Nike Born Mercurial di Photoshop   Photoshop Tutorial Indonesia Cara buat Animasi Motion Graphics Photoshop   Photoshop Tutorial Indonesia Cara buat Smudge Oil Painting effect photoshop   Photoshop Tutorial Indonesia Cara Desain Promosi Diskon Instagram Story dengan Photoshop   Photoshop Tutorial Indonesia Cara Membuat Efek Line Halftone di photoshop   Photoshop Tutorial Indonesia Cara Edit Foto HERO EFFECT Manipulation di photoshop   Photoshop Tutorial Indonesia Cara membuat desain logo menyatu dengan Background   Photoshop Tutorial Indonesia Cara Desain Simpel   Mudah Postingan Produk agar Terlihat Profesional   Photoshop Tutorial Indonesia Cara Desain Simpel   Mudah Postingan Produk agar Terlihat Profesional   Photoshop Tutorial Indonesia Cara Desain Poster Bola   Olahraga Menarik EPS 2   Photoshop Tutorial Indonesia Cara Edit Foto ala Poster   Cover Majalah Bola di Photoshop   Photoshop Tutorial Indonesia Membuat Glitch Text Effect Animation   Membuat Intro di Photoshop   Photoshop Tutorial Indonesia Cara Membuat Desain  CR7JUVE Style di PHotoshop    Photoshop Tutorial Indonesia Cara Edit Foto Potrait Watercolor   Efek Lukisan Watercolor   Photoshop Tutorial Indonesia Cara Edit foto Efek Dramatis dg Kontas Tinggi di Photoshop    Photoshop Tutorial Indonesia Editin Foto EPS 5   Tutorial Bikin Plastic Cover Art Design   Photoshop Tutorial Indonesia Editin Foto EPS 5   Tutorial Bikin Plastic Cover Art Design   Photoshop Tutorial Indonesia Editin Foto EPS 5   Tutorial Bikin Plastic Cover Art Design   Photoshop Tutorial Indonesia Editin Foto EPS 5   Tutorial Bikin Plastic Cover Art Design   Photoshop Tutorial Indonesia Editin Foto EPS 5   Tutorial Bikin Plastic Cover Art Design   Photoshop Tutorial Indonesia Editin Foto EPS 5   Tutorial Bikin Plastic Cover Art Design   Photoshop Tutorial Indonesia Editin Foto EPS 5   Tutorial Bikin Plastic Cover Art Design   Photoshop Tutorial Indonesia Editin Foto EPS 5   Tutorial Bikin Plastic Cover Art Design   Photoshop Tutorial Indonesia Cara Membuat Efek Lukisan   Halftone Splash Effect    Photoshop Tutorial Indonesia Cara Edit Foto Double Exposure Burung dengan Photoshop   Photoshop Tutorial Indonesia Cara Manipulasi Foto 3D Sci Fi Planetary dg photoshop   Photoshop Tutorial Indonesia Cara membuat Manipulasi Robot   Cyborg dg Photoshop   Photoshop Tutorial Indonesia How to create a 3D lettering design   Simple Text Effect EPS  2   Photoshop Tutorial Indonesia SOSMED DESIGN 0 1   Crumpled Texture Instagram Story Design   Photoshop Tutorial Indonesia Cara Membuat Laser Abstract Manipulation   Photoshop Tutorial Indonesia Cara Edit Foto Aesthetic Glitch Effect    Photoshop Tutorial Indonesia Cara Buat Color Grading CYBERPUNK di photoshop   Photoshop Tutorial Indonesia Cara Edit Foto Retro Comic Book Effect  Poster Film Yowis Ben    Photoshop Tutorial Indonesia Cara Membuat Desain Abstract Stroke Effect   Photoshop Tutorial Indonesia Cara buat 2 5D Parallax Photo Effect di Photoshop    Photoshop Tutorial Indonesia Cara Edit Foto Horor Photoshop   Edit Foto Keren Photoshop   Photoshop Tutorial Indonesia Edit foto Double Color Exposure Photoshop   Photoshop Tutorial Indonesia Cara Desain Text Effect dg Perspective 3D   Gradasi   Photoshop Tutorial Indonesia Cara edit foto ikan paus terbang dengan Photoshop   Profesional photo manipulation Cara Edit Foto Inception style   Inception effect photoshop   Photoshop Tutorial Indonesia Cara Desain Circular Stretch Effect di photoshop   Photoshop Tutorial Indonesia Editin Foto EPS 4   Desain Grunge Portrait Cover Art   Photoshop Tutorial Indonesia Editin Foto EPS 4   Desain Grunge Portrait Cover Art   Photoshop Tutorial Indonesia Cara Edit Foto Crispy Bokeh Potrait   Edit Foto Keren   Photoshop Tutorial Indonesia Cara Desain DuoTone Mask Poster di Photoshop   Photoshop Tutorial Indonesia Cara Edit Foto Manipulasi Tubuh Terpotong dengan Photoshop   Photoshop Tutorial Indonesia Membuat Efek Foto Dark BW   Scratches   Photoshop Tutorial Indonesia Membuat logo text efek pada kayu dengan photoshop Cara Membuat Animasi Born Mercurial   NIKE Born Mercurial Animation   Photoshop Tutorial Indonesia Cara edit Elephant Monsters Manipulation dg photoshop   Photoshop Tutorial Indonesia How to Create Low Poly   Geometric Design for Magazine Cover   Photoshop Tutorial  indonesia Cara Mudah Edit Foto Manipulasi Neon Effect di Photoshop   Photoshop Tutorial Indonesia Edit Foto Coffee Latte Potrait Art di Photoshop   coffee latte face   Photoshop Tutorial Indonesia Edit Foto Melayang  dengan Photoshop   Levitation effect   Photoshop Tutorial Indonesia Cara Membuat Efek Pantulan Kaca pada foto portrait dg photoshop   Photoshop Tutorial Indonesia How to make a animal LowPoly Design   Photoshop Cara Color Grading Premiere Pro di Photoshop   Photoshop Tutorial Indonesia Photoshop Manipulation Tutorial   Inception effect   Fantasy effect   Photoshop Tutorial Indonesia Tutorial efek Animasi hujan Cinemagraph Photoshop   Photoshop Tutorial Indonesia Cara Buat Pixel Sorting Effect   Edit Foto Aesthetic   Photoshop Tutorial Indonesia Cara Edit foto keren Landscape Geometric Reflections Photoshop   Photoshop Tutorial Indonesia Cara Membuat Plotagraph GRATIS   Free Plotagraph Animation   Photoshop Tutorial Indonesia Edit foto manipulation wajah pohon   Tutorial Cal Redback photoshop   Photoshop Tutorial Indonesia Cara Desain Text Effect dengan Objek Timbul di Photoshop   Photoshop Tutorial Indonesia Cara Edit Foto Pixelated Effect   Dipresion Effect Photoshop   Photoshop Tutorial Indonesia Cara Edit Foto ala Desain Poster Film Action di Photoshop   Photoshop Tutorial Indonesia Change Color Background with Photoshop   Photoshop Tutorial Indonesia Cara Color Grading Anime Style di Photoshop   Photoshop Tutorial Indonesia Cara Edit Foto Produk Kaos Seperti Profesional   Photoshop Tutorial Indonesia Membuat lukisan abstract dari foto denga photoshop   Tutorial smudge effect photoshop Cara Membuat Foto Landscape Berkabut   Dramatis   Photoshop Tutorial Indonesia Cara Mudah Mempertajam Warna Foto di Photoshop    Photoshop Tutorial Indonesia Cara Edit foto Efek Textur Robekan Kertas  Poster di photoshop   Photoshop Tutorial Indonesia Cara Menambah Texture Grunge pada Foto agar Terlihat Usang    Photoshop Tutorial Indonesia Cara Edit Foto Keren dengan Efek SPLASH INK ala David Guetta   Photoshop Tutorial Indonesia Cara Paling Mudah   Cepat Ganti Warna Foto di Photoshop   Photoshop Tutorial Indonesia Editin Foto EPS 2   Bikin Efek Malaikat Spesial Ramadhan   Photoshop Tutorial Indonesia Cara membuat Selective Color dengan Photoshop How to create a Chaos MELT Text effect with Photoshop   Photoshop Tutorial Indonesia Diffusing Harsh Sun Light For Video Cara Edit Foto Kontras tinggi   Efek Dramatic Color di Photoshop   Photoshop Tutorial Indonesia Cara Edit Foto Inception style   Inception effect photoshop   Photoshop Tutorial Indonesia Speedart Qoutes Typography Design   Izin libur tutorialnya Cara Membuat Efek Light Leak di Photoshop   Photoshop Tutorial Indonesia How to make a Smoke effect photo maniulation Photoshop Cara Bikin Effect Foto ala Cyberpunk di Photoshop   Photoshop Tutorial Indonesia Cara Desain Landscape Geometric Shape dg Photoshop   Photoshop Tutorial Indonesia Cara Buat Desain Hipster Geometric dengan Photoshop   Photoshop Tutorial Indonesia Dramatic Color Grading Poster Film   Photoshop Trailer tutorial hujan cinemagraph photoshop   Photoshop Tutorial Indonesia Photoshop Tutorial POP PUNK Design Cara membuat lukisan cat minyak dengan photoshop   tutorial photoshop bahasa indonesia ARAP HAPUS CHANNEL YOUTUBE  HUAHAHAHAHA Photo Manipulation Tutorials for begginers   Photoshop CC ,-1,YouTube,"Taught by
Lincung Studio",Indonesian,-1.0,https://www.classcentral.com/course/youtube-learn-photoshop-photo-editing-53996
30339,375,,Matplotlib,Belajar Matplotlib Bahasa Indonesia,Belajar Matplotlib  Python Plot   01   Instalasi Matplotlib Belajar Matplotlib  Python Plot   02   Pendahuluan Pyplot Belajar Matplotlib  Python Plot   03   Set Warna dan Marker Belajar Matplotlib  Python Plot   04   Set Properties Belajar Matplotlib  Python Plot   05   Set Axis Belajar Matplotlib  Python Plot   06   Set Label dan Title Belajar Matplotlib  Python Plot   07   Membuat Legend Belajar Matplotlib  Python Plot   08   Menambah Text Belajar Matplotlib  Python Plot   09   Set Ticks  Merubah rentang Belajar Matplotlib  Python Plot   10   Set Spines  menggeser axis ,-1,YouTube,"Taught by
Kelas Terbuka",Indonesian,-1.0,https://www.classcentral.com/course/youtube-belajar-matplotlib-python-plot-package-bahasa-indonesia-54920
30645,681,,C++,Object Oriented Programming in C++ (Indonesian Version),Learn how to program object oriented using C  for beginner   What you'll learn  Explain benefits of object oriented conceptImplement the object oriented concept in C  programmingSelect the appropriate data and function specifiersDistinguish several type of polymorphism concept This course discusses about objectoriented programming in C  It's started by explaining the basic concept of object oriented  Then  followed by its implementation in C  programming language  This course provide 10 tutorial videos which will cover each essential concept of object oriented programming and their implementation in C  programming language This course takes about 2 hours to complete After completing this course  students will be able to understand the core concept ofobjectoriented programming such as abstract data type  inheritance  polymorphism and encapsulation  Student will also see the reasons whyobject oriented programming is better than procedural programming  Please note that the language used in this course is Indonesian  We are working to translate it into English ,-1,Udemy,"Taught by
Bina Nusantara University, Rhio Sutoyo, Greater Nusantara and Jeklin Harefa",Indonesian,4.9,https://www.classcentral.com/course/udemy-object-oriented-programming-in-c-55308
31835,1871,,Docker,Belajar Docker untuk Pemula,Belajar Docker untuk Pemula   01 Pengenalan Docker Belajar Docker untuk Pemula   02 Virtual Machine vs Container Belajar Docker untuk Pemula   03 Menginstall Docker Belajar Docker untuk Pemula   04 Arsitektur Docker Belajar Docker untuk Pemula   05 Q A 1 Belajar Docker untuk Pemula   06 Container Registry Belajar Docker untuk Pemula   07 Image Belajar Docker untuk Pemula   08 Container Belajar Docker untuk Pemula   09 Mengambil Image dari Registry Belajar Docker untuk Pemula   10 Membuat Container Belajar Docker untuk Pemula   11 Menjalankan Container Belajar Docker untuk Pemula   12 Menghapus Container Belajar Docker untuk Pemula   13 Membuka Port untuk Container Belajar Docker untuk Pemula   14 Menghapus Image Belajar Docker untuk Pemula   15 Membuat Image dengan Dockerfile Belajar Docker untuk Pemula   16 Mengupload Image ke Registry Belajar Docker untuk Pemula   17 Environment Variabel di Docker Belajar Docker untuk Pemula   18 Integrasi Container dengan Network Belajar Docker untuk Pemula   19 Menggunakan Docker Compose Belajar Docker untuk Pemula   20 Manage Data di Docker Belajar Docker untuk Pemula   21 Masuk ke Docker Container Belajar Docker untuk Pemula   22 Kitematic Belajar Docker untuk Pemula   23 Membersihkan Sampah ,-1,YouTube,"Taught by
Programmer Zaman Now",Indonesian,-1.0,https://www.classcentral.com/course/youtube-belajar-docker-untuk-pemula-56708
31859,1895,,Kubernetes,Belajar Kubernetes untuk Pemula,Belajar Kubernetes   1 Sebelum Belajar Kubernetes Belajar Kubernetes   2 Pengenalan Kubernetes Belajar Kubernetes   3 Arsitektur Kubernetes Belajar Kubernetes   4 Menginstall Kubernetes di Local Belajar Kubernetes   5 Node Belajar Kubernetes   6 Pod Belajar Kubernetes   7 Membuat Pod Belajar Kubernetes   8 Label Belajar Kubernetes   9 Annotation Belajar Kubernetes   10 Namespace Belajar Kubernetes   11 Membuat Namespace Belajar Kubernetes   12 Menghapus Pod Belajar Kubernetes   13 Probe Belajar Kubernetes   14 Replication Controller Belajar Kubernetes   15 Membuat Replication Controller Belajar Kubernetes   16 Menghapus Replication Controller Belajar Kubernetes   17 Replica Set Belajar Kubernetes   18 Label Selector Match Expression Belajar Kubernetes   19 Upgrade Minikube Belajar Kubernetes   20 Daemon Set Belajar Kubernetes   21 Job Belajar Kubernetes   22 Cron Job Belajar Kubernetes   23 Node Selector Belajar Kubernetes   24 All Belajar Kubernetes   25 Service Belajar Kubernetes   26 Membuat Service Belajar Kubernetes   27 Mengakses Service Belajar Kubernetes   28 Eksternal Service Belajar Kubernetes   29 Mengekspos Service Belajar Kubernetes   30 Service Node Port Belajar Kubernetes   31 Service Load Balancer Belajar Kubernetes   32 Ingress Belajar Kubernetes   33 Multi Container Pod Belajar Kubernetes   34 Volume Belajar Kubernetes   35 Sharing Volume Belajar Kubernetes   36 Environment Variable Belajar Kubernetes   37 ConfigMap Belajar Kubernetes   38 Secret Belajar Kubernetes   39 Downward API Belajar Kubernetes   40 Manage Kubernetes Object Belajar Kubernetes   41 Deployment Belajar Kubernetes   42 Update Deployment Belajar Kubernetes   43 Rollback Deployment Belajar Kubernetes   44 Persistent Volume Belajar Kubernetes   45 StatefulSet Belajar Kubernetes   46 Membuat StatefulSet Belajar Kubernetes   47 Kubernetes Dashboard Belajar Kubernetes   48 Computational Resources Belajar Kubernetes   49 Horizontal Pod Autoscaler Belajar Kubernetes   50 Materi Selanjutnya ,-1,YouTube,"Taught by
Programmer Zaman Now",Indonesian,-1.0,https://www.classcentral.com/course/youtube-belajar-kubernetes-untuk-pemula-56737
31883,1919,,Tailwind,Belajar Tailwind CSS 2,Belajar Tailwind CSS 2   1 Tailwindcss sudah versi 2 Belajar Tailwind CSS 2   2 Gunakan warna yang baru Belajar Tailwind CSS 2   3 Mari Kita Buat Card Testimonial Belajar Tailwind CSS 2   4 Ring  Apa itu  Belajar Tailwind CSS 2   5 Oh Dark Mode  I Love You Belajar Tailwind CSS 2   6 Oh Dark Mode  I Love You Part 2 Belajar Tailwind CSS 2   7 Install Tailwind CSS 2 Di Beberapa Framework Belajar Tailwind CSS 2   8 Background dan Text Gradient Belajar Tailwind CSS 2   9 Apply sekarang sudah mantap Belajar Tailwind CSS 2   10 Mari kita bahas preset Belajar Tailwind CSS 2   11 Ambil dokumentasi Tailwind CSS Offline Belajar Tailwind CSS 2   12 Responsive Pada Tailwind CSS Belajar Tailwind CSS 2   13 Mari Kita Buat Navbar Belajar Tailwind CSS 2   14 Bagaimana dengan Component  Belajar Tailwind CSS 2   15 Mari kita buat form control sendiri Belajar Tailwind CSS 2   16 Tailwindcss Form pilihan sih ,-1,YouTube,"Taught by
Parsinta",Indonesian,-1.0,https://www.classcentral.com/course/youtube-belajar-tailwind-css-2-56770
33503,3541,,Information Technology,Administrasi Sistem dan Layanan Infrastruktur TI,Materi ini akan membantu Anda beralih dari hanya mengerjakan satu komputer menjadi menangani seluruh armada komputer  Administrasi sistem adalah bidang TI yang bertanggung jawab atas pemeliharaan sistem komputer yang andal di lingkungan multi pengguna  Pada materi ini  Anda akan belajar tentang layanan infrastruktur yang membuat semua organisasi  baik besar maupun kecil  tetap aktif dan berjalan  Kita akan membahas lebih jauh mengenai cloud sehingga Anda akan memahami semuanya  mulai dari penyiapan infrastruktur cloud hingga cara mengelola sumber daya cloud  Anda juga akan mempelajari cara mengelola dan mengonfigurasi server serta cara menggunakan perangkat TI untuk mengelola komputer  informasi pengguna  dan produktivitas pengguna  Terakhir  Anda akan mempelajari cara memulihkan infrastruktur organisasi TI Anda jika terjadi bencana   Pada akhir materi ini  Anda akan mampu     memanfaatkan praktik terbaik dalam memilih perangkat keras  vendor  dan layanan untuk organisasi Anda   memahami cara kerja layanan infrastruktur yang paling umum dalam menjaga organisasi tetap aktif dan berjalan  serta cara mengelola server infrastruktur   memahami cara memaksimalkan cloud untuk organisasi Anda   mengelola komputer dan pengguna organisasi menggunakan layanan direktori  Active Directory dan OpenLDAP   memilih dan mengelola alat yang akan digunakan organisasi Anda   membuat cadangan data organisasi Anda dan tahu cara memulihkan infrastruktur TI Anda jika terjadi bencana   memanfaatkan pengetahuan administrasi sistem untuk merencanakan dan menyempurnakan proses di lingkungan TI,Google,Coursera,"Taught by
Google Career Certificates",Indonesian,4.9,https://www.classcentral.com/course/administrasi-sistem-dan-layanan-infrastruktur-ti-58708
