,Unnamed: 0.1,Unnamed: 0,Subject,Course Title,Description,Institute,Provider,Instructor,Language,Rating,Course_Link
495,161,161.0,Google Cloud Platform (GCP),Google Cloud Fundamentals: Core Infrastructure em Português Brasileiro,Este curso   uma apresenta o da terminologia e dos conceitos importantes para trabalhar com o Google Cloud Platform  GCP  Voc  aprender  sobre v rios servi os de computa o e armazenamento dispon veis no Google Cloud Platform  incluindo o Google App Engine  o Google Compute Engine  o Google Kubernetes Engine  o Google Cloud Storage  o Google Cloud SQL e o BigQuery  e tamb m far  uma compara o dessas solu es  Voc  conhecer  importantes ferramentas de gerenciamento de recursos e pol ticas  como a hierarquia do Google Cloud Resource Manager e o Google Cloud Identity and Access Management  Os laborat rios pr ticos oferecem habilidades b sicas para trabalhar com o GCP ,Google Cloud,Coursera,Google Cloud Training,Portuguese,4.8,https://www.classcentral.com/course/gcp-fundamentals-br-11759
752,418,418.0,Machine Learning,How Google does Machine Learning em Português Brasileiro, O que   machine learning e que tipos de problemas ele pode resolver  A abordagem de machine learning do Google   um pouco diferente  Ela se concentra na l gica  e n o apenas nos dados  Vamos discutir por que essa abordagem    til para os cientistas de dados durante a cria o de um pipeline de modelos de machine learning     Depois vamos falar sobre as cinco fases da convers o de um poss vel caso de uso de machine learning e ver a import ncia de n o pular essas fases  Por fim  vamos conhecer os vieses que podem ser amplificados pelo machine learning e aprender a identific los      Ao se inscrever nesta especializa o  voc  concorda com os Termos de Servi o do Qwiklabs  conforme estabelecidos na se o de perguntas frequentes em  https qwiklabs com terms of service,Google Cloud,Coursera,Google Cloud Training,Portuguese,4.8,https://www.classcentral.com/course/google-machine-learning-br-12147
819,485,485.0,Machine Learning,Launching into Machine Learning em Português Brasileiro,Come ando pela hist ria do machine learning  vamos discutir por que as redes neurais hoje funcionam com v rios problemas de ci ncia de dados  Depois vamos definir um problema de aprendizado supervisionado e descobrir uma boa solu o usando o gradiente descendente  Isso envolve criar conjuntos de dados que permitem generaliza o  Vamos falar sobre os m todos que devemos usar para fazer isso de modo repet vel e que viabilize a experimenta o    Objetivos do curso   Identificar por que o aprendizado profundo   comum atualmente  Otimizar e avaliar os modelos usando fun es de perda e m tricas de desempenho  Mitigar problemas comuns que surgem no machine learning  Criar conjuntos de dados de treinamento  avalia o e teste repet veis e escalon veis,Google Cloud,Coursera,Google Cloud Training,Portuguese,4.5,https://www.classcentral.com/course/launching-machine-learning-br-12257
854,520,520.0,Software Development,Feature Engineering em Português Brasileiro,Quer saber como melhorar a acur cia dos modelos de ML e quais colunas de dados s o os atributos mais  teis  Neste curso Feature Engineering  abordaremos os atributos bons e ruins  bem como o pr processamento e a transforma o deles para otimizar os modelos ,Google Cloud,Coursera,Google Cloud Training,Portuguese,4.5,https://www.classcentral.com/course/feature-engineering-br-12298
855,521,521.0,Machine Learning,Art and Science of Machine Learning em Português Brasileiro,Este   o curso Art and Science of Machine Learning  O curso tem seis m dulos  Falaremos sobre as habilidades essenciais de intui o  bom senso e experimenta o em ML para ajustar e otimizar modelos e ter melhor desempenho  Voc  aprender  a generalizar os modelos usando t cnicas de regulariza o e conhecer  os efeitos dos hiperpar metros  como tamanho de lote e taxa de aprendizado  sobre o desempenho do modelo  Tamb m abordaremos alguns algoritmos mais comuns de otimiza o de modelo e mostraremos como especificar um m todo de otimiza o no c digo do TensorFlow ,Google Cloud,Coursera,Google Cloud Training,Portuguese,4.6,https://www.classcentral.com/course/art-science-ml-br-12301
867,533,533.0,TensorFlow,Intro to TensorFlow em Português Brasileiro,O objetivo deste curso   aproveitar a flexibilidade e a facilidade de uso do TensorFlow 2 x e do Keras para criar  treinar e implantar modelos de machine learning   Voc  aprender  sobre a hierarquia da API TensorFlow 2 x e conhecer  os principais componentes do TensorFlow nos exerc cios pr ticos   Mostraremos como trabalhar com conjuntos de dados e colunas de atributos  Voc  aprender  a projetar e criar um pipeline de entrada de dados do TensorFlow 2 x   Voc  ter  uma experi ncia pr tica com o carregamento de dados CSV  matrizes numpy  dados de texto e imagens usando o tf Data Dataset e com a cria o de colunas de atributos num ricas  categ ricas  em bucket e com hash   Apresentaremos as APIs Keras Sequential e Keras Functional para mostrar como criar modelos de aprendizado profundo   Abordaremos as fun es de ativa o  perda e otimiza o   Nos laborat rios pr ticos dos notebooks do Jupyter  voc  poder  criar modelos de machine learning de regress o linear b sica e de regress o log stica b sica e avan ada   Voc  aprender  a treinar  implantar e produzir modelos de machine learning em escala com o AI Platform do Cloud ,Google Cloud,Coursera,Google Cloud Training,Portuguese,4.6,https://www.classcentral.com/course/intro-tensorflow-br-12328
1587,600,,Google Cloud Platform (GCP),Migrating to Google Cloud em Português Brasileiro,Neste curso  apresentamos as estrat gias para migrar de um ambiente de origem para o Google Cloud  Os participantes conhecer o os conceitos fundamentais do Google Cloud e t picos mais detalhados  como cria o de m quinas virtuais  configura o de redes e gerenciamento de acesso e identidades  O curso tamb m aborda o processo de instala o e migra o do Migrate for Compute Engine  inclusive recursos especiais como clones de teste e migra es em levas     Ao se inscrever no curso  voc  concorda com os Termos de Servi o do Qwiklabs  conforme estabelecido na se o de perguntas frequentes do site  https qwiklabs com terms of service,Google Cloud,Coursera,"Taught by
Google Cloud Training",Portuguese,-1.0,https://www.classcentral.com/course/migrating-to-gcp-br-24358
2738,1751,,Blender,Blender 3D - Guia do Iniciante GRÁTIS,Aprender BLENDER 3D do ZERO construindo seu pr prio personagem  What you'll learn  Aprender Blender 3D e desenvolver um personagem completo  Neste curso voc  ir  aprender como criar um personagem completo no Blender 3D  e sem a necessidade de ter nenhum conhecimento pr vio da ferramenta  Iremos aprender o b sico da modelagem  renderiza o e anima o  E no processo construir um personagem Isso mesmo  voc  ir  partir do nada at  no fim ter aprendido como criar um personagem ,-1,Udemy,"Taught by
Eduardo Garcia",Portuguese,4.5,https://www.classcentral.com/course/udemy-blender-3d-guia-do-iniciante-gratis-25577
2739,1752,,Blender,Introdução ao Blender 3D,Entre nesse mundo sem enrola o  What you'll learn  Aprenda de maneira simples e r pida as ferramentas de modelagem do BlenderAcompanhe na pr tica como criar seu primeiro modelo 3DVeja como funciona o processo de cria o de materiais e renderiza o do BlenderAulas curtas e diretas para facilitar o processo de revis o Blender   a su te livre e aberta para cria o 3D  Elepossu  recursosde modelagem 3D  rigging  anima o  simula o  renderiza o  composi o  rastreamento de movimento  edi o de v deo e cria o de jogos O curso vai te introduzir no mundo da computa o gr fica com o Blender sem enrola o  As aulas s o curtas e diretas facilitando o processo de aprendizagem facilitando o processo de revis o ,-1,Udemy,"Taught by
Daniel Franco",Portuguese,4.6,https://www.classcentral.com/course/udemy-cursoblender3d-25578
2742,1755,,Blender,Introdução ao antigo Blender 2.7x,Compreenda os fundamentos do Blender  What you'll learn  Modelar  aplicar materiais  iluminar e animar cenas simples utilizando o Blender  O Blender  um software open source de modelagem e anima o em 3D  Leve e poderoso  ele atende a todas as etapas do processo de produ o de uma anima o em 3D Este curso foi gravado com a antiga vers o do Blender  A s rite 2 7  Caso seu computador n o tenha os pr  requisitos para utilizar a nova s rie 2 8 do Blender  esta pode ser uma boa alternativa para voc Neste curso voc  conhecer  a interface  aprender  a criar e transformar objetos  ver  como utilizar ferramentas de modelagem poligonal para criar seus pr prios objetos  aprender  a aplicar materiais  a iluminar  a animar e renderizar cenas simples ,-1,Udemy,"Taught by
Gustavo Rosa",Portuguese,4.8,https://www.classcentral.com/course/udemy-introducao-ao-blender3d-25581
